Event,Time,Voltage1,Voltage2
1,4.139934290e-03,5.788066214e-02,-6.825373056e-02
1,4.159934290e-03,5.788066214e-02,-5.217332608e-02
1,4.179934290e-03,5.707664218e-02,-6.423362944e-02
1,4.199934290e-03,5.788066214e-02,-7.227383168e-02
1,4.219934290e-03,5.707664218e-02,-6.825373056e-02
1,4.239934290e-03,5.788066214e-02,-6.825373056e-02
1,4.259934290e-03,5.386056230e-02,-6.423362944e-02
1,4.279934290e-03,5.707664218e-02,-6.021352832e-02
1,4.299934290e-03,5.707664218e-02,-4.815322496e-02
1,4.319934290e-03,5.707664218e-02,-5.217332608e-02
1,4.339934290e-03,5.627262221e-02,-5.217332608e-02
1,4.359934290e-03,5.546860224e-02,-4.815322496e-02
1,4.379934290e-03,5.386056230e-02,-4.815322496e-02
1,4.399934290e-03,5.627262221e-02,-3.609292160e-02
1,4.419934290e-03,5.466458227e-02,-3.207282048e-02
1,4.439934290e-03,5.305654234e-02,-4.413312384e-02
1,4.459934290e-03,5.466458227e-02,-4.413312384e-02
1,4.479934290e-03,5.305654234e-02,-4.815322496e-02
1,4.499934290e-03,5.466458227e-02,-7.227383168e-02
1,4.519934290e-03,5.707664218e-02,-9.237433728e-02
1,4.539934290e-03,5.707664218e-02,-9.237433728e-02
1,4.559934290e-03,5.627262221e-02,-1.084547418e-01
1,4.579934290e-03,5.707664218e-02,-8.433413504e-02
1,4.599934290e-03,5.868468211e-02,-6.423362944e-02
1,4.619934290e-03,5.948870208e-02,-6.825373056e-02
1,4.639934290e-03,5.868468211e-02,-6.423362944e-02
1,4.659934290e-03,5.788066214e-02,-9.237433728e-02
1,4.679934290e-03,5.707664218e-02,-8.031403392e-02
1,4.699934290e-03,5.546860224e-02,-6.825373056e-02
1,4.719934290e-03,5.546860224e-02,-8.433413504e-02
1,4.739934290e-03,5.707664218e-02,-8.031403392e-02
1,4.759934290e-03,5.788066214e-02,-7.629393280e-02
1,4.779934290e-03,5.707664218e-02,-8.031403392e-02
1,4.799934290e-03,5.707664218e-02,-6.423362944e-02
1,4.819934290e-03,5.868468211e-02,-6.825373056e-02
1,4.839934290e-03,5.788066214e-02,-6.021352832e-02
1,4.859934290e-03,5.868468211e-02,-6.021352832e-02
1,4.879934290e-03,5.948870208e-02,-5.217332608e-02
1,4.899934290e-03,6.029272205e-02,-6.021352832e-02
1,4.919934290e-03,5.788066214e-02,-5.217332608e-02
1,4.939934290e-03,5.707664218e-02,-4.011302272e-02
1,4.959934290e-03,5.707664218e-02,-5.619342720e-02
1,4.979934290e-03,5.948870208e-02,-5.619342720e-02
2,-5.000065710e-03,5.144850240e-02,-4.815322496e-02
2,-4.980065710e-03,5.305654234e-02,-4.815322496e-02
2,-4.960065710e-03,5.386056230e-02,-5.619342720e-02
2,-4.940065710e-03,5.546860224e-02,-5.619342720e-02
2,-4.920065710e-03,5.627262221e-02,-6.423362944e-02
2,-4.900065710e-03,5.707664218e-02,-4.815322496e-02
2,-4.880065710e-03,6.029272205e-02,-6.021352832e-02
2,-4.860065710e-03,6.029272205e-02,-5.619342720e-02
2,-4.840065710e-03,5.788066214e-02,-4.413312384e-02
2,-4.820065710e-03,5.868468211e-02,-4.413312384e-02
2,-4.800065710e-03,5.788066214e-02,-3.207282048e-02
2,-4.780065710e-03,5.948870208e-02,-6.825373056e-02
2,-4.760065710e-03,5.868468211e-02,-6.825373056e-02
2,-4.740065710e-03,6.190076198e-02,-6.825373056e-02
2,-4.720065710e-03,6.029272205e-02,-9.639443840e-02
2,-4.700065710e-03,6.029272205e-02,-8.031403392e-02
2,-4.680065710e-03,6.029272205e-02,-8.835423616e-02
2,-4.660065710e-03,5.948870208e-02,-7.227383168e-02
2,-4.640065710e-03,5.707664218e-02,-5.619342720e-02
2,-4.620065710e-03,5.466458227e-02,-4.413312384e-02
2,-4.600065710e-03,5.466458227e-02,-4.815322496e-02
2,-4.580065710e-03,5.627262221e-02,-4.815322496e-02
2,-4.560065710e-03,5.948870208e-02,-6.423362944e-02
2,-4.540065710e-03,5.788066214e-02,-5.217332608e-02
2,-4.520065710e-03,5.868468211e-02,-6.021352832e-02
2,-4.500065710e-03,6.109674202e-02,-4.815322496e-02
2,-4.480065710e-03,6.190076198e-02,-4.413312384e-02
2,-4.460065710e-03,6.350880192e-02,-3.609292160e-02
2,-4.440065710e-03,6.190076198e-02,-3.207282048e-02
2,-4.420065710e-03,6.029272205e-02,-4.413312384e-02
2,-4.400065710e-03,5.868468211e-02,-3.207282048e-02
2,-4.380065710e-03,5.546860224e-02,-4.815322496e-02
2,-4.360065710e-03,5.546860224e-02,-6.825373056e-02
2,-4.340065710e-03,5.707664218e-02,-5.217332608e-02
2,-4.320065710e-03,5.868468211e-02,-5.217332608e-02
2,-4.300065710e-03,5.627262221e-02,-4.413312384e-02
2,-4.280065710e-03,5.466458227e-02,-4.413312384e-02
2,-4.260065710e-03,5.707664218e-02,-7.227383168e-02
2,-4.240065710e-03,5.627262221e-02,-6.423362944e-02
2,-4.220065710e-03,5.707664218e-02,-7.227383168e-02
2,-4.200065710e-03,5.546860224e-02,-6.021352832e-02
2,-4.180065710e-03,5.546860224e-02,-5.619342720e-02
2,-4.160065710e-03,5.707664218e-02,-5.217332608e-02
2,-4.140065710e-03,5.627262221e-02,-7.227383168e-02
2,-4.120065710e-03,5.707664218e-02,-5.619342720e-02
2,-4.100065710e-03,5.707664218e-02,-6.021352832e-02
2,-4.080065710e-03,5.788066214e-02,-4.815322496e-02
2,-4.060065710e-03,5.868468211e-02,-7.227383168e-02
2,-4.040065710e-03,5.627262221e-02,-8.031403392e-02
2,-4.020065710e-03,5.305654234e-02,-1.044346406e-01
2,-4.000065710e-03,5.546860224e-02,-7.629393280e-02
2,-3.980065710e-03,5.788066214e-02,-8.835423616e-02
2,-3.960065710e-03,6.029272205e-02,-8.433413504e-02
2,-3.940065710e-03,5.868468211e-02,-9.237433728e-02
2,-3.920065710e-03,5.868468211e-02,-8.433413504e-02
2,-3.900065710e-03,5.707664218e-02,-1.084547418e-01
2,-3.880065710e-03,5.627262221e-02,-8.433413504e-02
2,-3.860065710e-03,5.546860224e-02,-7.629393280e-02
2,-3.840065710e-03,5.466458227e-02,-5.619342720e-02
2,-3.820065710e-03,5.386056230e-02,-5.217332608e-02
2,-3.800065710e-03,5.707664218e-02,-4.413312384e-02
2,-3.780065710e-03,5.466458227e-02,-4.413312384e-02
2,-3.760065710e-03,5.466458227e-02,-4.011302272e-02
2,-3.740065710e-03,5.466458227e-02,-3.609292160e-02
2,-3.720065710e-03,5.627262221e-02,-4.011302272e-02
2,-3.700065710e-03,5.707664218e-02,-6.423362944e-02
2,-3.680065710e-03,5.707664218e-02,-6.825373056e-02
2,-3.660065710e-03,5.788066214e-02,-6.825373056e-02
2,-3.640065710e-03,5.707664218e-02,-4.815322496e-02
2,-3.620065710e-03,5.788066214e-02,-4.815322496e-02
2,-3.600065710e-03,5.788066214e-02,-3.609292160e-02
2,-3.580065710e-03,5.788066214e-02,-6.423362944e-02
2,-3.560065710e-03,6.109674202e-02,-4.815322496e-02
2,-3.540065710e-03,6.109674202e-02,-6.423362944e-02
2,-3.520065710e-03,5.788066214e-02,-6.423362944e-02
2,-3.500065710e-03,5.788066214e-02,-5.217332608e-02
2,-3.480065710e-03,5.707664218e-02,-4.815322496e-02
2,-3.460065710e-03,5.868468211e-02,-5.619342720e-02
2,-3.440065710e-03,5.788066214e-02,-4.815322496e-02
2,-3.420065710e-03,5.788066214e-02,-6.825373056e-02
2,-3.400065710e-03,5.788066214e-02,-5.619342720e-02
2,-3.380065710e-03,6.109674202e-02,-6.021352832e-02
2,-3.360065710e-03,6.109674202e-02,-5.619342720e-02
2,-3.340065710e-03,6.029272205e-02,-6.423362944e-02
2,-3.320065710e-03,5.948870208e-02,-8.835423616e-02
2,-3.300065710e-03,6.029272205e-02,-7.227383168e-02
2,-3.280065710e-03,6.190076198e-02,-6.825373056e-02
2,-3.260065710e-03,6.029272205e-02,-6.423362944e-02
2,-3.240065710e-03,6.109674202e-02,-5.619342720e-02
2,-3.220065710e-03,6.029272205e-02,-5.217332608e-02
2,-3.200065710e-03,5.948870208e-02,-4.815322496e-02
2,-3.180065710e-03,5.627262221e-02,-4.011302272e-02
2,-3.160065710e-03,5.627262221e-02,-5.619342720e-02
2,-3.140065710e-03,5.386056230e-02,-4.815322496e-02
2,-3.120065710e-03,5.386056230e-02,-1.044346406e-01
2,-3.100065710e-03,5.386056230e-02,-1.044346406e-01
2,-3.080065710e-03,5.386056230e-02,-9.639443840e-02
2,-3.060065710e-03,5.627262221e-02,-7.227383168e-02
2,-3.040065710e-03,5.948870208e-02,-8.031403392e-02
2,-3.020065710e-03,5.948870208e-02,-6.825373056e-02
2,-3.000065710e-03,5.707664218e-02,-8.835423616e-02
2,-2.980065710e-03,5.627262221e-02,-6.825373056e-02
2,-2.960065710e-03,5.466458227e-02,-6.021352832e-02
2,-2.940065710e-03,5.305654234e-02,-5.619342720e-02
2,-2.920065710e-03,5.386056230e-02,-6.825373056e-02
2,-2.900065710e-03,5.627262221e-02,-5.619342720e-02
2,-2.880065710e-03,5.386056230e-02,-9.237433728e-02
2,-2.860065710e-03,5.386056230e-02,-1.004145395e-01
2,-2.840065710e-03,5.386056230e-02,-7.629393280e-02
2,-2.820065710e-03,5.546860224e-02,-5.619342720e-02
2,-2.800065710e-03,5.546860224e-02,-8.433413504e-02
2,-2.780065710e-03,5.627262221e-02,-7.227383168e-02
2,-2.760065710e-03,5.546860224e-02,-5.619342720e-02
2,-2.740065710e-03,5.466458227e-02,-4.815322496e-02
2,-2.720065710e-03,5.386056230e-02,-4.011302272e-02
2,-2.700065710e-03,5.466458227e-02,-4.011302272e-02
2,-2.680065710e-03,5.305654234e-02,-4.011302272e-02
2,-2.660065710e-03,5.788066214e-02,-3.609292160e-02
2,-2.640065710e-03,5.627262221e-02,-2.403261824e-02
2,-2.620065710e-03,5.627262221e-02,-4.011302272e-02
2,-2.600065710e-03,5.707664218e-02,-6.021352832e-02
2,-2.580065710e-03,5.788066214e-02,-7.629393280e-02
2,-2.560065710e-03,5.707664218e-02,-7.629393280e-02
2,-2.540065710e-03,5.948870208e-02,-7.227383168e-02
2,-2.520065710e-03,5.788066214e-02,-7.227383168e-02
2,-2.500065710e-03,5.627262221e-02,-6.825373056e-02
2,-2.480065710e-03,5.466458227e-02,-4.815322496e-02
2,-2.460065710e-03,5.305654234e-02,-5.217332608e-02
2,-2.440065710e-03,5.386056230e-02,-6.423362944e-02
2,-2.420065710e-03,5.305654234e-02,-5.619342720e-02
2,-2.400065710e-03,5.466458227e-02,-4.815322496e-02
2,-2.380065710e-03,5.466458227e-02,-3.609292160e-02
2,-2.360065710e-03,5.305654234e-02,-3.609292160e-02
2,-2.340065710e-03,5.386056230e-02,-3.609292160e-02
2,-2.320065710e-03,5.466458227e-02,-4.413312384e-02
2,-2.300065710e-03,5.305654234e-02,-6.825373056e-02
2,-2.280065710e-03,5.386056230e-02,-8.835423616e-02
2,-2.260065710e-03,5.305654234e-02,-8.835423616e-02
2,-2.240065710e-03,5.386056230e-02,-8.835423616e-02
2,-2.220065710e-03,5.305654234e-02,-8.031403392e-02
2,-2.200065710e-03,5.305654234e-02,-6.825373056e-02
2,-2.180065710e-03,5.386056230e-02,-5.619342720e-02
2,-2.160065710e-03,5.386056230e-02,-4.413312384e-02
2,-2.140065710e-03,5.386056230e-02,-6.021352832e-02
2,-2.120065710e-03,5.546860224e-02,-8.835423616e-02
2,-2.100065710e-03,5.466458227e-02,-7.227383168e-02
2,-2.080065710e-03,5.386056230e-02,-7.629393280e-02
2,-2.060065710e-03,5.466458227e-02,-6.021352832e-02
2,-2.040065710e-03,5.627262221e-02,-8.433413504e-02
2,-2.020065710e-03,5.707664218e-02,-9.237433728e-02
2,-2.000065710e-03,5.627262221e-02,-6.825373056e-02
2,-1.980065710e-03,5.546860224e-02,-6.825373056e-02
2,-1.960065710e-03,5.466458227e-02,-7.629393280e-02
2,-1.940065710e-03,5.627262221e-02,-1.044346406e-01
2,-1.920065710e-03,5.386056230e-02,-8.031403392e-02
2,-1.900065710e-03,5.546860224e-02,-7.227383168e-02
2,-1.880065710e-03,5.466458227e-02,-6.423362944e-02
2,-1.860065710e-03,5.707664218e-02,-6.423362944e-02
2,-1.840065710e-03,6.029272205e-02,-6.825373056e-02
2,-1.820065710e-03,5.948870208e-02,-5.217332608e-02
2,-1.800065710e-03,5.788066214e-02,-6.423362944e-02
2,-1.780065710e-03,5.788066214e-02,-5.619342720e-02
2,-1.760065710e-03,5.788066214e-02,-6.423362944e-02
2,-1.740065710e-03,5.707664218e-02,-6.825373056e-02
2,-1.720065710e-03,5.788066214e-02,-6.423362944e-02
2,-1.700065710e-03,5.707664218e-02,-6.423362944e-02
2,-1.680065710e-03,5.546860224e-02,-8.433413504e-02
2,-1.660065710e-03,5.707664218e-02,-6.825373056e-02
2,-1.640065710e-03,5.627262221e-02,-7.629393280e-02
2,-1.620065710e-03,5.466458227e-02,-8.031403392e-02
2,-1.600065710e-03,5.466458227e-02,-1.084547418e-01
2,-1.580065710e-03,5.466458227e-02,-8.835423616e-02
2,-1.560065710e-03,5.466458227e-02,-6.423362944e-02
2,-1.540065710e-03,5.144850240e-02,-6.021352832e-02
2,-1.520065710e-03,5.386056230e-02,-6.021352832e-02
2,-1.500065710e-03,5.305654234e-02,-5.619342720e-02
2,-1.480065710e-03,5.386056230e-02,-4.815322496e-02
2,-1.460065710e-03,5.064448243e-02,-3.609292160e-02
2,-1.440065710e-03,4.823242253e-02,-3.207282048e-02
2,-1.420065710e-03,5.225252237e-02,-4.011302272e-02
2,-1.400065710e-03,5.305654234e-02,-4.815322496e-02
2,-1.380065710e-03,5.305654234e-02,-4.011302272e-02
2,-1.360065710e-03,5.386056230e-02,-4.815322496e-02
2,-1.340065710e-03,5.466458227e-02,-4.011302272e-02
2,-1.320065710e-03,5.386056230e-02,-3.609292160e-02
2,-1.300065710e-03,5.466458227e-02,-4.413312384e-02
2,-1.280065710e-03,5.305654234e-02,-3.609292160e-02
2,-1.260065710e-03,5.386056230e-02,-4.011302272e-02
2,-1.240065710e-03,5.466458227e-02,-4.413312384e-02
2,-1.220065710e-03,5.386056230e-02,-7.227383168e-02
2,-1.200065710e-03,5.386056230e-02,-6.825373056e-02
2,-1.180065710e-03,5.386056230e-02,-6.423362944e-02
2,-1.160065710e-03,5.466458227e-02,-6.423362944e-02
2,-1.140065710e-03,5.305654234e-02,-6.021352832e-02
2,-1.120065710e-03,5.627262221e-02,-7.629393280e-02
2,-1.100065710e-03,5.546860224e-02,-6.423362944e-02
2,-1.080065710e-03,5.386056230e-02,-8.835423616e-02
2,-1.060065710e-03,5.386056230e-02,-6.825373056e-02
2,-1.040065710e-03,5.546860224e-02,-6.021352832e-02
2,-1.020065710e-03,5.707664218e-02,-4.815322496e-02
2,-1.000065710e-03,5.466458227e-02,-6.423362944e-02
2,-9.800657100e-04,5.707664218e-02,-5.217332608e-02
2,-9.600657100e-04,5.466458227e-02,-4.815322496e-02
2,-9.400657100e-04,5.305654234e-02,-3.609292160e-02
2,-9.200657100e-04,5.546860224e-02,-4.011302272e-02
2,-9.000657100e-04,5.546860224e-02,-5.619342720e-02
2,-8.800657100e-04,5.386056230e-02,-6.423362944e-02
2,-8.600657100e-04,5.386056230e-02,-4.815322496e-02
2,-8.400657100e-04,5.305654234e-02,-5.217332608e-02
2,-8.200657100e-04,4.984046246e-02,-6.021352832e-02
2,-8.000657100e-04,5.144850240e-02,-5.217332608e-02
2,-7.800657100e-04,5.064448243e-02,-5.217332608e-02
2,-7.600657100e-04,5.144850240e-02,-6.021352832e-02
2,-7.400657100e-04,5.225252237e-02,-6.021352832e-02
2,-7.200657100e-04,5.386056230e-02,-8.433413504e-02
2,-7.000657100e-04,5.546860224e-02,-7.629393280e-02
2,-6.800657100e-04,5.546860224e-02,-8.835423616e-02
2,-6.600657100e-04,5.546860224e-02,-7.227383168e-02
2,-6.400657100e-04,5.546860224e-02,-5.619342720e-02
2,-6.200657100e-04,5.707664218e-02,-6.021352832e-02
2,-6.000657100e-04,5.788066214e-02,-7.629393280e-02
2,-5.800657100e-04,5.707664218e-02,-9.237433728e-02
2,-5.600657100e-04,5.868468211e-02,-8.835423616e-02
2,-5.400657100e-04,6.109674202e-02,-1.004145395e-01
2,-5.200657100e-04,6.029272205e-02,-8.031403392e-02
2,-5.000657100e-04,5.948870208e-02,-8.433413504e-02
2,-4.800657100e-04,5.948870208e-02,-6.423362944e-02
2,-4.600657100e-04,6.029272205e-02,-7.227383168e-02
2,-4.400657100e-04,6.029272205e-02,-5.619342720e-02
2,-4.200657100e-04,5.948870208e-02,-5.217332608e-02
2,-4.000657100e-04,5.788066214e-02,-5.217332608e-02
2,-3.800657100e-04,5.707664218e-02,-8.433413504e-02
2,-3.600657100e-04,5.466458227e-02,-1.004145395e-01
2,-3.400657100e-04,5.546860224e-02,-9.237433728e-02
2,-3.200657100e-04,5.868468211e-02,-6.825373056e-02
2,-3.000657100e-04,6.029272205e-02,-7.227383168e-02
2,-2.800657100e-04,5.948870208e-02,-7.629393280e-02
2,-2.600657100e-04,5.707664218e-02,-6.825373056e-02
2,-2.400657100e-04,5.546860224e-02,-6.825373056e-02
2,-2.200657100e-04,5.627262221e-02,-5.217332608e-02
2,-2.000657100e-04,5.386056230e-02,-6.423362944e-02
2,-1.800657100e-04,5.466458227e-02,-5.619342720e-02
2,-1.600657100e-04,5.386056230e-02,-6.825373056e-02
2,-1.400657100e-04,5.144850240e-02,-5.619342720e-02
2,-1.200657100e-04,5.064448243e-02,-6.423362944e-02
2,-1.000657100e-04,5.064448243e-02,-5.619342720e-02
2,-8.006571000e-05,4.984046246e-02,-9.237433728e-02
2,-6.006571000e-05,5.466458227e-02,-8.433413504e-02
2,-4.006571000e-05,5.386056230e-02,-6.423362944e-02
2,-2.006571000e-05,5.546860224e-02,-5.619342720e-02
2,-6.571000000e-08,8.762940096e-02,-4.413312384e-02
2,1.993429000e-05,8.843342093e-02,-3.207282048e-02
2,3.993429000e-05,8.441332109e-02,-4.011302272e-02
2,5.993429000e-05,8.119724122e-02,-3.207282048e-02
2,7.993429000e-05,7.717714138e-02,-4.011302272e-02
2,9.993429000e-05,7.637312141e-02,-2.805271936e-02
2,1.199342900e-04,7.315704154e-02,-3.609292160e-02
2,1.399342900e-04,7.074498163e-02,-5.619342720e-02
2,1.599342900e-04,7.154900160e-02,-4.011302272e-02
2,1.799342900e-04,6.913694170e-02,-4.413312384e-02
2,1.999342900e-04,6.592086182e-02,-5.217332608e-02
2,2.199342900e-04,6.431282189e-02,-6.423362944e-02
2,2.399342900e-04,6.350880192e-02,-8.433413504e-02
2,2.599342900e-04,6.350880192e-02,-8.031403392e-02
2,2.799342900e-04,6.109674202e-02,-8.031403392e-02
2,2.999342900e-04,6.109674202e-02,-7.227383168e-02
2,3.199342900e-04,6.029272205e-02,-8.835423616e-02
2,3.399342900e-04,6.029272205e-02,-8.433413504e-02
2,3.599342900e-04,5.948870208e-02,-6.825373056e-02
2,3.799342900e-04,5.948870208e-02,-5.217332608e-02
2,3.999342900e-04,6.270478195e-02,-5.619342720e-02
2,4.199342900e-04,6.190076198e-02,-4.413312384e-02
2,4.399342900e-04,6.190076198e-02,-3.609292160e-02
2,4.599342900e-04,6.270478195e-02,-4.815322496e-02
2,4.799342900e-04,6.109674202e-02,-4.011302272e-02
2,4.999342900e-04,6.190076198e-02,-4.011302272e-02
2,5.199342900e-04,6.190076198e-02,-2.805271936e-02
2,5.399342900e-04,6.109674202e-02,-7.629393280e-02
2,5.599342900e-04,6.029272205e-02,-8.433413504e-02
2,5.799342900e-04,6.109674202e-02,-7.227383168e-02
2,5.999342900e-04,6.029272205e-02,-7.629393280e-02
2,6.199342900e-04,6.109674202e-02,-7.629393280e-02
2,6.399342900e-04,6.190076198e-02,-8.835423616e-02
2,6.599342900e-04,6.109674202e-02,-6.825373056e-02
2,6.799342900e-04,6.190076198e-02,-8.433413504e-02
2,6.999342900e-04,6.109674202e-02,-7.227383168e-02
2,7.199342900e-04,6.109674202e-02,-6.825373056e-02
2,7.399342900e-04,6.109674202e-02,-7.629393280e-02
2,7.599342900e-04,6.270478195e-02,-6.423362944e-02
2,7.799342900e-04,6.029272205e-02,-5.217332608e-02
2,7.999342900e-04,5.868468211e-02,-5.217332608e-02
2,8.199342900e-04,5.707664218e-02,-4.413312384e-02
2,8.399342900e-04,5.707664218e-02,-3.609292160e-02
2,8.599342900e-04,5.707664218e-02,-4.815322496e-02
2,8.799342900e-04,5.627262221e-02,-4.815322496e-02
2,8.999342900e-04,5.466458227e-02,-8.031403392e-02
2,9.199342900e-04,5.627262221e-02,-1.164949440e-01
2,9.399342900e-04,5.627262221e-02,-1.044346406e-01
2,9.599342900e-04,5.466458227e-02,-7.629393280e-02
2,9.799342900e-04,5.386056230e-02,-9.639443840e-02
2,9.999342900e-04,5.386056230e-02,-7.629393280e-02
2,1.019934290e-03,5.546860224e-02,-6.825373056e-02
2,1.039934290e-03,5.546860224e-02,-6.021352832e-02
2,1.059934290e-03,5.546860224e-02,-8.031403392e-02
2,1.079934290e-03,5.546860224e-02,-6.825373056e-02
2,1.099934290e-03,5.627262221e-02,-5.619342720e-02
2,1.119934290e-03,5.546860224e-02,-5.619342720e-02
2,1.139934290e-03,5.546860224e-02,-4.413312384e-02
2,1.159934290e-03,5.546860224e-02,-3.207282048e-02
2,1.179934290e-03,5.546860224e-02,-4.413312384e-02
2,1.199934290e-03,5.546860224e-02,-6.021352832e-02
2,1.219934290e-03,5.466458227e-02,-4.011302272e-02
2,1.239934290e-03,5.546860224e-02,-4.815322496e-02
2,1.259934290e-03,5.627262221e-02,-4.011302272e-02
2,1.279934290e-03,5.627262221e-02,-4.815322496e-02
2,1.299934290e-03,5.546860224e-02,-3.609292160e-02
2,1.319934290e-03,5.466458227e-02,-6.021352832e-02
2,1.339934290e-03,5.707664218e-02,-5.217332608e-02
2,1.359934290e-03,5.868468211e-02,-5.217332608e-02
2,1.379934290e-03,5.546860224e-02,-5.217332608e-02
2,1.399934290e-03,5.707664218e-02,-4.413312384e-02
2,1.419934290e-03,5.627262221e-02,-6.423362944e-02
2,1.439934290e-03,5.788066214e-02,-4.815322496e-02
2,1.459934290e-03,5.948870208e-02,-5.619342720e-02
2,1.479934290e-03,5.788066214e-02,-5.619342720e-02
2,1.499934290e-03,5.868468211e-02,-5.619342720e-02
2,1.519934290e-03,5.788066214e-02,-4.815322496e-02
2,1.539934290e-03,5.948870208e-02,-6.021352832e-02
2,1.559934290e-03,6.029272205e-02,-4.815322496e-02
2,1.579934290e-03,6.109674202e-02,-4.011302272e-02
2,1.599934290e-03,5.948870208e-02,-3.609292160e-02
2,1.619934290e-03,5.948870208e-02,-4.413312384e-02
2,1.639934290e-03,5.868468211e-02,-4.011302272e-02
2,1.659934290e-03,5.868468211e-02,-4.413312384e-02
2,1.679934290e-03,5.788066214e-02,-4.011302272e-02
2,1.699934290e-03,5.627262221e-02,-4.413312384e-02
2,1.719934290e-03,5.948870208e-02,-3.609292160e-02
2,1.739934290e-03,5.788066214e-02,-3.609292160e-02
2,1.759934290e-03,5.868468211e-02,-4.011302272e-02
2,1.779934290e-03,5.788066214e-02,-3.609292160e-02
2,1.799934290e-03,5.627262221e-02,-4.011302272e-02
2,1.819934290e-03,5.466458227e-02,-3.609292160e-02
2,1.839934290e-03,5.386056230e-02,-7.227383168e-02
2,1.859934290e-03,5.305654234e-02,-8.433413504e-02
2,1.879934290e-03,5.386056230e-02,-7.227383168e-02
2,1.899934290e-03,5.386056230e-02,-7.227383168e-02
2,1.919934290e-03,5.466458227e-02,-6.423362944e-02
2,1.939934290e-03,5.466458227e-02,-4.413312384e-02
2,1.959934290e-03,5.225252237e-02,-1.004145395e-01
2,1.979934290e-03,5.305654234e-02,-7.629393280e-02
2,1.999934290e-03,5.305654234e-02,-8.433413504e-02
2,2.019934290e-03,5.305654234e-02,-6.825373056e-02
2,2.039934290e-03,5.144850240e-02,-5.217332608e-02
2,2.059934290e-03,5.225252237e-02,-5.619342720e-02
2,2.079934290e-03,5.386056230e-02,-5.619342720e-02
2,2.099934290e-03,5.305654234e-02,-6.825373056e-02
2,2.119934290e-03,5.225252237e-02,-8.031403392e-02
2,2.139934290e-03,4.984046246e-02,-8.835423616e-02
2,2.159934290e-03,5.225252237e-02,-6.825373056e-02
2,2.179934290e-03,5.225252237e-02,-7.227383168e-02
2,2.199934290e-03,5.144850240e-02,-6.825373056e-02
2,2.219934290e-03,5.064448243e-02,-6.423362944e-02
2,2.239934290e-03,5.144850240e-02,-7.227383168e-02
2,2.259934290e-03,5.144850240e-02,-6.021352832e-02
2,2.279934290e-03,5.225252237e-02,-5.619342720e-02
2,2.299934290e-03,5.225252237e-02,-7.629393280e-02
2,2.319934290e-03,5.225252237e-02,-1.044346406e-01
2,2.339934290e-03,5.386056230e-02,-9.237433728e-02
2,2.359934290e-03,5.386056230e-02,-7.227383168e-02
2,2.379934290e-03,5.305654234e-02,-6.423362944e-02
2,2.399934290e-03,5.386056230e-02,-6.021352832e-02
2,2.419934290e-03,5.386056230e-02,-6.825373056e-02
